30 2
-1.000000000000000e+00    -7.500000000000002e-01
-1.000000000000000e+00    -1.000000000000000e+00
-7.500000000000000e-01    -1.000000000000000e+00
-6.754026863915058e-01    -7.979885040264176e-01
-7.432213945695458e-01    -5.840754782726361e-01
-1.000000000000000e+00    -4.250000000000003e-01
-4.722222222222222e-01    -1.000000000000000e+00
-4.117598075633438e-01    -6.545344466730841e-01
-6.292079116612116e-01    -2.908521603669444e-01
-1.666666666666666e-01    -1.000000000000000e+00
-1.000000000000000e+00    -2.500000000000013e-02
-1.970876950803694e-01    -2.665224954325380e-01
9.836807523569923e-04    -6.380131421230303e-01
-4.236166737946052e-01     2.137450822625196e-01
1.944444444444444e-01    -1.000000000000000e+00
1.722211262264154e-01    -3.076745709725653e-01
-1.000000000000000e+00     4.500000000000000e-01
1.081657397526807e-01     8.491159049646825e-02
4.142588716933446e-01    -5.945991261165671e-01
-2.999999999999998e-01     1.000000000000000e+00
5.235590796458718e-02     5.483772294968068e-01
5.833333333333333e-01    -1.000000000000000e+00
5.342243012158929e-01    -1.181687934703761e-01
-1.000000000000000e+00     1.000000000000000e+00
5.102829974505514e-01     4.463931844704164e-01
1.000000000000000e+00    -5.000000000000000e-01
3.666666666666667e-01     1.000000000000000e+00
1.000000000000000e+00    -1.000000000000000e+00
1.000000000000000e+00     1.666666666666665e-01
1.000000000000000e+00     1.000000000000000e+00
41 3
1	2	3
4	1	3
5	1	4
5	6	1
4	3	7
5	4	8
4	7	8
5	9	6
5	8	9
7	10	8
11	6	9
8	12	9
10	13	8
8	13	12
11	9	14
14	9	12
10	15	13
13	16	12
14	17	11
18	14	12
18	12	16
13	15	19
13	19	16
14	20	17
18	21	14
21	20	14
19	15	22
23	18	16
16	19	23
17	20	24
18	25	21
18	23	25
19	22	26
26	23	19
21	27	20
25	27	21
26	22	28
25	23	29
26	29	23
25	30	27
25	29	30

